name,phone,nextOpen,Open,firstValidAppointment,appointmentsEnable,imageUrl,rating,reviewCount,path,distance
Midas - Silverdale,(360) 743-3387,Opens 8 AM Mon,Closed," Tue, Apr 11 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/212zh66nl0wh0dp1v8gtsqnwfzcv,4.3,156,/auto-repair-near-me/auto-repair-in-silverdale-washington/midas-silverdale#reviews-tab,27.8
Jeff's Auto Repair - Lynnwood,(844) 963-0809,Opens 7:30 AM Mon,Closed," Fri, Apr 28 at 7:30 am",True,https://storage.googleapis.com/rp-production-public-content/acp8l4xecyco5xj8n3l0fpqg2v2y,4.8,466,/auto-repair-near-me/auto-repair-in-lynnwood-washington/jeffs-auto-repair-lynnwood#reviews-tab,28.54
K.C. Martin Automotive Service Co.,(425) 689-7423,Opens 8 AM Mon,Closed," Wed, Apr 19 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/aqqamog2df13pqyhtyo2w4al2u4h,4.6,373,/auto-repair-near-me/auto-repair-in-lynnwood-washington/kc-martin-automotive-service-co#reviews-tab,29.69
Legend Auto Specialists,(425) 475-1777,Opens 9 AM Mon,Closed," Fri, Apr 21 at 9 am",True,https://storage.googleapis.com/rp-production-public-content/lzgieyl3rfy88lxuhlu76j1em4ay,4.5,17,/auto-repair-near-me/auto-repair-in-lynnwood-washington/legend-auto-specialists#reviews-tab,33.13
Fleet Service Auto and Truck Repair,(425) 341-4871,Opens 7 AM Mon,Closed," Tue, Apr 25 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/x8yy77v5ck7pvchbmi0i7p9mtvd6,4.7,715,/auto-repair-near-me/auto-repair-in-everett-washington/fleet-service-auto-and-truck-repair-in-everett#reviews-tab,37.06
Mike's Plum Street Automotive,(360) 526-8941,Opens 7:30 AM Mon,Closed," Wed, Apr 12 at 7:30 am",True,https://storage.googleapis.com/rp-production-public-content/mwzqotril1c6f6km28z2bql4u2om,4.7,177,/auto-repair-near-me/auto-repair-in-olympia-washington/mikes-plum-street-automotive-in-olympia#reviews-tab,41.13
Vander Wal's Garage Inc.,(360) 339-4067,Opens 8 AM Mon,Closed," Wed, Apr 12 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/k2gvwar7uzvuj999eowl233gzzl7,4.5,53,/auto-repair-near-me/auto-repair-in-shelton-washington/vander-wals-garage-inc#reviews-tab,42.45
Jack's Madrona Autoworks,(360) 813-6580,Opens 8 AM Mon,Closed," Wed, Apr 12 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/ajlcrbfwb00l3nk2e3ck0i4x7ul3,4.8,350,/auto-repair-near-me/auto-repair-in-olympia-washington/jacks-madrona-autoworks#reviews-tab,42.79
Daltons Midway North Auto Service,(361) 239-5642,Opens 8 AM Mon,Closed," Wed, Apr 12 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/dpki33kmwkplcs4di0ybe42fiahp,4.6,85,/auto-repair-near-me/auto-repair-in-marysville-washington/daltons-midway-north-auto-service#reviews-tab,46.66
Precision Tune Auto Care - 041-38,(360) 302-4385,Opens 8 AM Mon,Closed," Tue, Apr 11 at 8 am",True,https://storage.googleapis.com/rp-production-public-content/0fktyr93uzp2wgb1xx3j2lo0lbtw,4.4,308,/auto-repair-near-me/auto-repair-in-marysville-washington/precision-tune-auto-care-041-38#reviews-tab,47.45
